MANIFESTATIONS SPORTIVES 2009/2010,,,,,,,
,,,,,,,
  MANIFESTATIONS MAJEURES,,,,,,,
NB : Les nouvelles manifestations sont indiques en gras,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Mois,"Date

",Manifestations,Type,Lieux,Organisateurs,Secteur,Quartiers
nov-09,26,Cross Ecole El‚mentaire,,Grande Plaine,Ecole El‚mentaire Jean Mace,Est,4.3
nov-09,"28


",1er Tour Championnat par  Equipes Jeunes,,Cosec Mirail,Comit‚ D‚partemental Tennis de Table,Ouest,6.3
nov-09,28,Repas froid au Club House,,Arnaune - Club House,TO XIII,,
nov-09,"28


",Championnat Inter-Club National 3,,GIAT - Pierre Montan‚,Volant Club Toulousain,Ouest,6.1
nov-09,28 et 29,Tournoi Foot et Volley,,Toulouse Lautrec,Association Kanaks de Toulouse,Nord,3.1
nov-09,29,Concours de P‚tanque,,Place du Ravelin,Club de P‚tanque du Ravelin,Rive Gauche,2.1
nov-09,29,Valtoulousaine,,"Argoulets -  Gymnase

",Communaut‚ d'Agglom‚ration,Est,4.3
nov-09,29,Finale Ligue Elite B Savate,,Cerdan,Ligue Midi Pyr‚n‚es Savate,Ouest,6.2
nov-09,29, Inter-Club R‚gionaux,,GIAT - Pierre Montan‚,Volant Club Toulousain,Ouest,6.1
d‚cembre-09,"5 et 6

","2Šme tour Crit‚rium F‚d‚ral
",,Cosec Mirail,Comit‚ D‚partemental Tennis de Table,,
d‚cembre-09,"5

","Prˆt de mat‚rile ""Fˆte des Sports""",,Soupetard - ASPTT,ASPTT Grand Toulouse,,
d‚cembre-09,"6

",Hippodrome de Toulouse,,Hippodrome de Toulouse,Hippodrome de Toulouse,,
d‚cembre-09,"6

",Stage R‚gional Technique,,Toulouse Lautrec Gymnase du Lyc‚e,Comit‚ R‚gional Tae Kwon Do,,
d‚cembre-09,"12

",3Šme Edition du Troph‚e Oxyjeune,,Piscine Nakache,"F‚d‚ration Fran‡aise d'Etudes et de Sports
sous-marins",,
d‚cembre-09,"12

","M‚dailles du T.O.A.C ""1Šre R‚union""",,Piscine L‚o Lagrange,T.O.A.C - Natation,,
d‚cembre-09,"13

",Passage de Grade R‚gional,,Toulouse Lautrec Gymnase du Lyc‚e,Comit‚ R‚gional Tae Kwon Do,,
d‚cembre-09,"16 au 20

","2Šme Edition Masters de France de Tennis
(P‚riode d'indisponibilit‚ entre le 10 et 23 D‚c.)","*

","Compans, Palais des Sports",Ligue Midi-Pyr‚n‚es deTennis,,
d‚cembre-09,"19

",Championnat Inter-Club National 3,,Gymnase P. Montan‚ (G.I.A.T),Volant Club Toulousain,,
janv-10,12,R‚union,,Stadium - Espaces Loges,Dauphins du Toec,Sud Est,5.3
janv-10,"16


","Finale Championnat Midi Pyr‚n‚es(cadets, juniors mixte)",,GIAT - Pierre Montan‚,Racing Club Montan‚ Toulouse,Ouest,6.1
janv-10,"16


",Arbre de No‰l,,Arnaune,Toulouse Olympique XIII,Nord,3.1
janv-10,"16 et 17


","3Šme Tour Crit‚rium F‚d‚ral
",,Cosec Mirail,Comit‚ D‚partemental Tennis de Table,Ouest,6.3
janv-10,17,Championnat R‚gional,,Piscine L‚o Lagrange,CHOKS Hockey - Subaquatique Toulouse,Centre,1.1
janv-10,20,Projet Delta - Secourisme,,Piscine Bellevue,Ecole Sup‚rieure de Commerce,Sud Est,5.2
janv-10,20,Tournois R‚gionaux Rugby … XIII,,Argoulets - Terrains,UGSEL,Est,4.3
janv-10,"22, 23, 24


","Meeting National I.R.S.O
Comp‚tition de r‚f‚rence qualificative aux ‚preuves nationales


",,Piscine L‚o Lagrange,Comit‚ Midi-Pyr‚n‚es de Natation,Centre,1.1
janv-10,"23


","3Šme Tour Crit‚rium F‚d‚ral
",,Cosec Mirail,Comit‚ D‚partemental Tennis de Table,Ouest,6.3
janv-10,"23


",Comp‚titon R‚gionale,,Piscine Bellevue,Club Toulousain Sport Adapt‚,Sud Est,5.2
janv-10,23,Championnat de France F‚minine,,Toulouse Lautrec - Gymnase du Lyc‚e,Association des Sourds de Tolosa,Nord,3.1
janv-10,23.24,Championnat s de France Individuel de GR, ,Palais des Sports + Compans,Coquelicot Toulouse Gym,Centre,1.2
janv-10,24,France/Espagne/Japon, ,Palais des Sports,Ligue Midi Pyr‚n‚es de Karat‚,Centre,1.2
janv-10,23 et 24,Les Marsupilamis,,Rangueil,Coquelicot Toulouse Gym,Sud Est,5.2
janv-10,24,Championnat Midi Pyr‚n‚es Savate Boxe Fran‡aise - 4Šme s‚rie Minimes Cadets,,Pradettes - Gymnase,Club Karat‚ Boxe Fran‡aise des Pradettes,Ouest,6.2
janv-10,26,Tournoi Badminton inter ‚coles,,GIAT - Pierre Montan‚,Ecole Fabre,Ouest,6.1
janv-10,27,Projet Delta - Secourisme,,Piscine Bellevue,Ecole Sup‚rieure de Commerce,Sud Est,5.2
janv-10,27,Comp‚tion Super R‚gional Individuel,,Piscine L‚o Lagrange,UGSEL,Centre,1.1
janv-10,29,Loto Annuel,,Lardenne - Gymnase,Association Toulouse Lardenne,Ouest,6.2
janv-10,30,Festival ICAM,,GIAT - Pierre Montan‚,ICAM,Ouest,6.1
janv-10,30,Inauguration Avenue de Fronton,,Club House TO XIII,Cabinet du Maire,Nord,3.1
janv-10,30 et 31,Concours de P‚tanque,,Bonnefoy - Archives,Sport Olympique Bonnefoy P‚tanque,Nord,3.4
